frame,stamina,horizontal_speed
0,1.7667,7.0000
1,2.2667,4.2000
2,2.7667,4.2000
3,3.2667,4.2000
4,3.7667,4.2000
5,4.2667,4.2000
6,4.7667,4.2000
7,5.2667,4.2000
8,5.7667,4.2000
9,6.2667,4.2000
10,6.7667,4.2000
11,7.2667,4.2000
12,7.7667,4.2000
13,8.2667,4.2000
14,8.7667,4.2000
15,9.2667,4.2000
16,9.7667,4.2000
17,10.2667,4.2000
18,10.7667,4.2000
19,11.2667,4.2000
20,11.7667,4.2000
21,12.2667,4.2000
22,12.7667,4.2000
23,13.2667,4.2000
24,13.7667,4.2000
25,14.2667,4.2000
26,14.7667,4.2000
27,15.2667,4.2000
28,15.7667,4.2000
29,16.2667,4.2000
30,16.7667,4.2000
31,17.2667,4.2000
32,17.7667,4.2000
33,18.2667,4.2000
34,18.7667,4.2000
35,19.2667,4.2000
36,19.7667,4.2000
37,20.2667,4.2000
38,20.7667,4.2000
39,21.2667,4.2000
40,21.7667,4.2000
41,22.2667,4.2000
42,22.7667,4.2000
43,23.2667,4.2000
44,23.7667,4.2000
45,24.2667,4.2000
46,24.7667,4.2000
47,25.2667,4.2000
48,25.7667,4.2000
49,26.2667,4.2000
50,26.7667,4.2000
51,27.2667,4.2000
52,27.7667,4.2000
53,28.2667,4.2000
54,28.7667,4.2000
55,29.2667,4.2000
56,29.7667,4.2000
57,30.2667,4.2000
58,30.7667,4.2000
59,31.2667,4.2000
60,31.7667,4.2000
61,32.2667,4.2000
62,32.7667,4.2000
63,33.2667,4.2000
64,33.7667,4.2000
65,34.2667,4.2000
66,34.7667,4.2000
67,35.2667,4.2000
68,35.7667,4.2000
69,36.2667,4.2000
70,36.7667,4.2000
71,37.2667,4.2000
72,37.7667,4.2000
73,38.2667,4.2000
74,38.7667,4.2000
75,39.2667,4.2000
76,39.7667,4.2000
77,40.2667,4.2000
78,40.7667,4.2000
79,41.2667,4.2000
80,41.7667,4.2000
81,42.2667,4.2000
82,42.7667,4.2000
83,43.2667,4.2000
84,43.7667,4.2000
85,44.2667,4.2000
86,44.7667,4.2000
87,45.2667,4.2000
88,45.7667,4.2000
89,46.2667,4.2000
90,46.7667,4.2000
91,47.2667,4.2000
92,47.7667,4.2000
93,48.2667,4.2000
94,48.7667,4.2000
95,49.2667,4.2000
96,49.7667,4.2000
97,50.2667,4.2000
98,50.7667,4.2000
99,51.2667,4.2000
100,51.7667,4.2000
101,52.2667,4.2000
102,52.7667,4.2000
103,53.2667,4.2000
104,53.7667,4.2000
105,54.2667,4.2000
106,54.7667,4.2000
107,55.2667,4.2000
108,55.7667,4.2000
109,56.2667,4.2000
110,56.7667,4.2000
111,57.2667,4.2000
112,57.7667,4.2000
113,58.2667,4.2000
114,58.7667,4.2000
115,59.2667,4.2000
116,59.7667,4.2000
117,60.2667,4.2000
118,60.7667,4.2000
119,61.2667,4.2000
120,61.7667,4.2000
121,62.2667,4.2000
122,62.7667,4.2000
123,63.2667,4.2000
124,63.7667,4.2000
125,64.2667,4.2000
126,64.7667,4.2000
127,65.2667,4.2000
128,65.7667,4.2000
129,66.2667,4.2000
130,66.7667,4.2000
131,67.2667,4.2000
132,67.7667,4.2000
133,68.2667,4.2000
134,68.7667,4.2000
135,69.2667,4.2000
136,69.7667,4.2000
137,70.2667,4.2000
138,70.7667,4.2000
139,71.2667,4.2000
140,71.7667,4.2000
141,72.2667,4.2000
142,72.7667,4.2000
143,73.2667,4.2000
144,73.7667,4.2000
145,74.2667,4.2000
146,74.7667,4.2000
147,75.2667,4.2000
148,75.7667,4.2000
149,76.2667,4.2000
150,76.7667,4.2000
151,77.2667,4.2000
152,77.7667,4.2000
153,78.2667,4.2000
154,78.7667,4.2000
155,79.2667,4.2000
156,79.7667,4.2000
157,80.2667,4.2000
158,80.7667,4.2000
159,81.2667,4.2000
160,81.7667,4.2000
161,82.2667,4.2000
162,82.7667,4.2000
163,83.2667,4.2000
164,83.7667,4.2000
165,84.2667,4.2000
166,84.7667,4.2000
167,85.2667,4.2000
168,85.7667,4.2000
169,86.2667,4.2000
170,86.7667,4.2000
171,87.2667,4.2000
172,87.7667,4.2000
173,88.2667,4.2000
174,88.7667,4.2000
175,89.2667,4.2000
176,89.7667,4.2000
177,90.2667,4.2000
178,90.7667,4.2000
179,91.2667,4.2000
180,91.7667,4.2000
181,92.2667,4.2000
182,92.7667,4.2000
183,93.2667,4.2000
184,93.7667,4.2000
185,94.2667,4.2000
186,94.7667,4.2000
187,95.2667,4.2000
188,95.7667,4.2000
189,96.2667,4.2000
190,96.7667,4.2000
191,97.2667,4.2000
192,97.7667,4.2000
193,98.2667,4.2000
194,98.7667,4.2000
195,99.2667,4.2000
196,99.7667,4.2000
197,100.0000,4.2000
198,99.3667,6.9999
199,98.7333,7.0000
200,98.1000,6.9999
201,97.4667,6.9999
202,96.8333,6.9999
203,96.2000,6.9999
204,95.5667,6.9999
205,94.9334,6.9999
206,94.3000,6.9999
207,93.6667,6.9999
208,93.0334,6.9999
209,92.4000,6.9999
210,91.7667,6.9999
211,91.1334,6.9999
212,90.5000,6.9999
